timestamp,ts,scenario,defense,shard,container,cpu_percent,memory_mb,connections,active_transactions,run_id
2026-05-13T13:58:05+0000,1778680685.2648396,hot70,obfuscated,2,exp1_pg_shard_2,79.14,47.02,2,1,3
2026-05-13T13:58:07+0000,1778680687.286869,hot70,obfuscated_control,0,exp1_pg_shard_0,144.53,65.22,2,1,3
2026-05-13T13:58:07+0000,1778680687.295815,hot70,obfuscated_control,1,exp1_pg_shard_1,134.6,72.39,2,1,3
2026-05-13T13:58:07+0000,1778680687.3039594,hot70,obfuscated_control,2,exp1_pg_shard_2,106.72,46.79,2,1,3
2026-05-13T13:58:09+0000,1778680689.3246844,hot90,deterministic,0,exp1_pg_shard_0,146.61,58.3,10,4,3
2026-05-13T13:58:09+0000,1778680689.332405,hot90,deterministic,1,exp1_pg_shard_1,4.47,46.74,2,1,3
2026-05-13T13:58:09+0000,1778680689.3405643,hot90,deterministic,2,exp1_pg_shard_2,7.56,47.6,2,1,3
2026-05-13T13:58:12+0000,1778680692.427511,hot90,deterministic,0,exp1_pg_shard_0,7.11,47.09,2,1,3
2026-05-13T13:58:12+0000,1778680692.4367754,hot90,deterministic,1,exp1_pg_shard_1,6.9,46.93,2,1,3
2026-05-13T13:58:12+0000,1778680692.4460716,hot90,deterministic,2,exp1_pg_shard_2,4.89,46.71,2,1,3
2026-05-13T13:58:14+0000,1778680694.4646852,hot90,obfuscated,0,exp1_pg_shard_0,131.75,97.92,2,1,3
2026-05-13T13:58:14+0000,1778680694.4743667,hot90,obfuscated,1,exp1_pg_shard_1,76.82,46.86,2,1,3
2026-05-13T13:58:14+0000,1778680694.4834797,hot90,obfuscated,2,exp1_pg_shard_2,73.91,46.89,2,1,3
2026-05-13T13:58:16+0000,1778680696.5038729,hot90,obfuscated_control,0,exp1_pg_shard_0,131.74,92.47,2,1,3
2026-05-13T13:58:16+0000,1778680696.5132003,hot90,obfuscated_control,1,exp1_pg_shard_1,91.81,46.61,2,1,3
2026-05-13T13:58:16+0000,1778680696.5231385,hot90,obfuscated_control,2,exp1_pg_shard_2,100.21,46.67,2,1,3
2026-05-13T13:58:18+0000,1778680698.5430703,uniform,deterministic,0,exp1_pg_shard_0,105.95,46.93,2,1,4
2026-05-13T13:58:18+0000,1778680698.5521264,uniform,deterministic,1,exp1_pg_shard_1,77.29,46.75,2,1,4
2026-05-13T13:58:18+0000,1778680698.5620186,uniform,deterministic,2,exp1_pg_shard_2,138.89,71.97,2,1,4
2026-05-13T13:58:20+0000,1778680700.5847042,uniform,obfuscated,0,exp1_pg_shard_0,130.24,101.0,2,1,4
2026-05-13T13:58:20+0000,1778680700.5945773,uniform,obfuscated,1,exp1_pg_shard_1,93.36,46.64,2,1,4
2026-05-13T13:58:20+0000,1778680700.60392,uniform,obfuscated,2,exp1_pg_shard_2,91.53,46.63,2,1,4
2026-05-13T13:58:22+0000,1778680702.622617,uniform,obfuscated_control,0,exp1_pg_shard_0,141.8,79.64,2,1,4
2026-05-13T13:58:22+0000,1778680702.6323931,uniform,obfuscated_control,1,exp1_pg_shard_1,133.49,91.66,2,1,4
2026-05-13T13:58:22+0000,1778680702.6412406,uniform,obfuscated_control,2,exp1_pg_shard_2,95.01,50.79,2,1,4
2026-05-13T13:58:24+0000,1778680704.662788,hot70,deterministic,0,exp1_pg_shard_0,135.68,87.32,29,4,4
2026-05-13T13:58:24+0000,1778680704.6706283,hot70,deterministic,1,exp1_pg_shard_1,23.16,46.95,2,1,4
2026-05-13T13:58:24+0000,1778680704.6785617,hot70,deterministic,2,exp1_pg_shard_2,24.4,46.94,2,1,4
2026-05-13T13:58:27+0000,1778680707.7613354,hot70,deterministic,0,exp1_pg_shard_0,6.24,47.1,2,1,4
2026-05-13T13:58:27+0000,1778680707.7698698,hot70,deterministic,1,exp1_pg_shard_1,6.02,46.98,2,1,4
2026-05-13T13:58:27+0000,1778680707.779303,hot70,deterministic,2,exp1_pg_shard_2,0.04,46.7,2,1,4
2026-05-13T13:58:29+0000,1778680709.8029947,hot70,obfuscated,0,exp1_pg_shard_0,113.35,46.82,2,1,4
2026-05-13T13:58:29+0000,1778680709.812152,hot70,obfuscated,1,exp1_pg_shard_1,139.6,56.75,2,1,4
2026-05-13T13:58:29+0000,1778680709.821606,hot70,obfuscated,2,exp1_pg_shard_2,90.04,46.95,2,1,4
2026-05-13T13:58:31+0000,1778680711.84132,hot70,obfuscated_control,0,exp1_pg_shard_0,137.34,82.5,2,1,4
2026-05-13T13:58:31+0000,1778680711.8512821,hot70,obfuscated_control,1,exp1_pg_shard_1,132.47,91.2,2,1,4
2026-05-13T13:58:31+0000,1778680711.8600202,hot70,obfuscated_control,2,exp1_pg_shard_2,96.71,46.86,2,1,4
2026-05-13T13:58:33+0000,1778680713.8853025,hot90,deterministic,0,exp1_pg_shard_0,137.5,102.8,12,4,4
2026-05-13T13:58:33+0000,1778680713.8939776,hot90,deterministic,1,exp1_pg_shard_1,3.91,46.75,2,1,4
2026-05-13T13:58:33+0000,1778680713.9039598,hot90,deterministic,2,exp1_pg_shard_2,2.42,46.69,2,1,4
2026-05-13T13:58:36+0000,1778680716.9744446,hot90,deterministic,0,exp1_pg_shard_0,0.05,46.91,2,1,4
2026-05-13T13:58:36+0000,1778680716.9828289,hot90,deterministic,1,exp1_pg_shard_1,0.03,46.78,2,1,4
2026-05-13T13:58:36+0000,1778680716.9905572,hot90,deterministic,2,exp1_pg_shard_2,2.06,46.74,2,1,4
2026-05-13T13:58:39+0000,1778680719.0135503,hot90,obfuscated,0,exp1_pg_shard_0,135.72,80.3,2,1,4
2026-05-13T13:58:39+0000,1778680719.0232518,hot90,obfuscated,1,exp1_pg_shard_1,101.95,46.77,2,1,4
2026-05-13T13:58:39+0000,1778680719.032904,hot90,obfuscated,2,exp1_pg_shard_2,75.12,46.63,2,1,4
2026-05-13T13:58:41+0000,1778680721.0606043,hot90,obfuscated_control,0,exp1_pg_shard_0,132.16,83.95,2,1,4
2026-05-13T13:58:41+0000,1778680721.0708554,hot90,obfuscated_control,1,exp1_pg_shard_1,91.5,46.71,2,1,4
2026-05-13T13:58:41+0000,1778680721.0802279,hot90,obfuscated_control,2,exp1_pg_shard_2,74.32,46.74,2,1,4
2026-05-13T13:58:43+0000,1778680723.0962014,uniform,deterministic,0,exp1_pg_shard_0,105.45,50.85,2,1,5
2026-05-13T13:58:43+0000,1778680723.1054258,uniform,deterministic,1,exp1_pg_shard_1,136.66,101.5,2,1,5
2026-05-13T13:58:43+0000,1778680723.1155684,uniform,deterministic,2,exp1_pg_shard_2,113.52,47.38,2,1,5
2026-05-13T13:58:45+0000,1778680725.135647,uniform,obfuscated,0,exp1_pg_shard_0,135.67,47.44,2,1,5
2026-05-13T13:58:45+0000,1778680725.1466103,uniform,obfuscated,1,exp1_pg_shard_1,77.06,46.82,2,1,5
2026-05-13T13:58:45+0000,1778680725.1570995,uniform,obfuscated,2,exp1_pg_shard_2,121.67,46.91,2,1,5
2026-05-13T13:58:47+0000,1778680727.179006,uniform,obfuscated_control,0,exp1_pg_shard_0,140.46,73.68,2,1,5
2026-05-13T13:58:47+0000,1778680727.1870272,uniform,obfuscated_control,1,exp1_pg_shard_1,103.25,46.77,2,1,5
2026-05-13T13:58:47+0000,1778680727.1951025,uniform,obfuscated_control,2,exp1_pg_shard_2,95.26,46.76,2,1,5
2026-05-13T13:58:49+0000,1778680729.2222445,hot70,deterministic,0,exp1_pg_shard_0,142.73,92.55,29,3,5
2026-05-13T13:58:49+0000,1778680729.231824,hot70,deterministic,1,exp1_pg_shard_1,29.92,46.94,2,1,5
2026-05-13T13:58:49+0000,1778680729.2417028,hot70,deterministic,2,exp1_pg_shard_2,18.51,46.85,2,1,5
2026-05-13T13:58:52+0000,1778680732.3247864,hot70,deterministic,0,exp1_pg_shard_0,0.03,46.85,2,1,5
2026-05-13T13:58:52+0000,1778680732.3338788,hot70,deterministic,1,exp1_pg_shard_1,0.02,46.76,2,1,5
2026-05-13T13:58:52+0000,1778680732.342582,hot70,deterministic,2,exp1_pg_shard_2,3.23,46.67,2,1,5
2026-05-13T13:58:54+0000,1778680734.365529,hot70,obfuscated,0,exp1_pg_shard_0,119.75,47.0,2,1,5
2026-05-13T13:58:54+0000,1778680734.3749683,hot70,obfuscated,1,exp1_pg_shard_1,135.59,78.37,2,1,5
2026-05-13T13:58:54+0000,1778680734.3848522,hot70,obfuscated,2,exp1_pg_shard_2,100.5,46.73,2,1,5
2026-05-13T13:58:56+0000,1778680736.472895,hot70,obfuscated_control,0,exp1_pg_shard_0,135.07,47.38,2,1,5
2026-05-13T13:58:56+0000,1778680736.4818757,hot70,obfuscated_control,1,exp1_pg_shard_1,131.17,47.11,2,1,5
2026-05-13T13:58:56+0000,1778680736.4909217,hot70,obfuscated_control,2,exp1_pg_shard_2,84.27,46.78,2,1,5
2026-05-13T13:58:58+0000,1778680738.5092838,hot90,deterministic,0,exp1_pg_shard_0,137.06,85.35,26,4,5
2026-05-13T13:58:58+0000,1778680738.5178251,hot90,deterministic,1,exp1_pg_shard_1,9.78,48.45,2,1,5
2026-05-13T13:58:58+0000,1778680738.5253081,hot90,deterministic,2,exp1_pg_shard_2,11.26,47.74,2,1,5
2026-05-13T13:59:01+0000,1778680741.620603,hot90,deterministic,0,exp1_pg_shard_0,0.03,46.79,2,1,5
2026-05-13T13:59:01+0000,1778680741.6290207,hot90,deterministic,1,exp1_pg_shard_1,0.02,46.75,2,1,5
2026-05-13T13:59:01+0000,1778680741.6389742,hot90,deterministic,2,exp1_pg_shard_2,6.36,46.7,2,1,5
2026-05-13T13:59:03+0000,1778680743.6584055,hot90,obfuscated,0,exp1_pg_shard_0,109.26,47.18,2,1,5
2026-05-13T13:59:03+0000,1778680743.6688182,hot90,obfuscated,1,exp1_pg_shard_1,136.63,102.3,2,1,5
2026-05-13T13:59:03+0000,1778680743.6774201,hot90,obfuscated,2,exp1_pg_shard_2,80.79,49.06,2,1,5
2026-05-13T13:59:05+0000,1778680745.7461815,hot90,obfuscated_control,0,exp1_pg_shard_0,141.85,63.14,2,1,5
2026-05-13T13:59:05+0000,1778680745.7551444,hot90,obfuscated_control,1,exp1_pg_shard_1,114.76,46.83,2,1,5
2026-05-13T13:59:05+0000,1778680745.764746,hot90,obfuscated_control,2,exp1_pg_shard_2,75.69,46.74,2,1,5
