run_id,seed,scenario,defense,pair_id,item_id,victim_txn_id,attacker_txn_id,victim_success,attacker_success,victim_latency_ms,attacker_latency_ms,victim_inventory_commit_ts,attacker_inventory_commit_ts,victim_order_commit_ts,attacker_order_commit_ts,front_run_success,order_violation,consistency_violation,rollback_count,committed_count,final_stock_estimated,oversell
1,20360514,cross_shard_frontrun,baseline,13,800013,r1-baseline-p13-victim,r1-baseline-p13-attacker,True,True,1029.4983386993408,655.4806232452393,1778557846.8506281,1778557846.7183025,1778557846.985003,1778557846.718549,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,14,800014,r1-baseline-p14-victim,r1-baseline-p14-attacker,True,True,1026.9830226898193,708.0609798431396,1778557846.752322,1778557846.7476869,1778557846.935639,1778557846.747938,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,15,800015,r1-baseline-p15-victim,r1-baseline-p15-attacker,True,True,942.81005859375,881.908655166626,1778557846.750474,1778557846.7478752,1778557846.851625,1778557846.757235,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,16,800016,r1-baseline-p16-victim,r1-baseline-p16-attacker,True,True,1007.6010227203369,881.9801807403564,1778557846.7507572,1778557846.748168,1778557846.863327,1778557846.762364,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,17,800017,r1-baseline-p17-victim,r1-baseline-p17-attacker,True,True,1024.9462127685547,881.5956115722656,1778557846.7521126,1778557846.7482774,1778557846.91768,1778557846.76813,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,18,800018,r1-baseline-p18-victim,r1-baseline-p18-attacker,True,True,1025.965929031372,880.5804252624512,1778557846.850412,1778557846.7483983,1778557846.96962,1778557846.773273,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,19,800019,r1-baseline-p19-victim,r1-baseline-p19-attacker,True,True,1025.031328201294,880.3496360778809,1778557846.7524345,1778557846.7486398,1778557846.947704,1778557846.7788,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,20,800020,r1-baseline-p20-victim,r1-baseline-p20-attacker,True,True,1025.015115737915,880.1114559173584,1778557846.8502395,1778557846.748523,1778557846.958561,1778557846.773027,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,21,800021,r1-baseline-p21-victim,r1-baseline-p21-attacker,True,True,1025.5720615386963,880.7985782623291,1778557846.8507288,1778557846.7487543,1778557846.995304,1778557846.784019,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,22,800022,r1-baseline-p22-victim,r1-baseline-p22-attacker,True,True,1024.9037742614746,880.8939456939697,1778557846.8506773,1778557846.7488909,1778557846.990208,1778557846.789149,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,23,800023,r1-baseline-p23-victim,r1-baseline-p23-attacker,True,True,1024.80149269104,880.8953762054443,1778557846.8508117,1778557846.7489848,1778557847.000251,1778557846.793906,True,True,True,0,2,0,False
1,20360514,cross_shard_frontrun,baseline,24,800024,r1-baseline-p24-victim,r1-baseline-p24-attacker,True,True,1020.5078125,880.596399307251,1778557846.751155,1778557846.749311,1778557846.881895,1778557846.804731,True,True,True,0,2,0,False
